,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
116,3,Unidade da Federação,23,Mil dúzias,1213,12,Acre,201802,2º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
117,3,Unidade da Federação,23,Mil dúzias,1213,12,Acre,201802,2º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
118,3,Unidade da Federação,24,Cabeças,209966,12,Acre,201803,3º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
119,3,Unidade da Federação,23,Mil dúzias,1240,12,Acre,201803,3º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
120,3,Unidade da Federação,23,Mil dúzias,1240,12,Acre,201803,3º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
121,3,Unidade da Federação,24,Cabeças,215811,12,Acre,201804,4º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
122,3,Unidade da Federação,23,Mil dúzias,1255,12,Acre,201804,4º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
123,3,Unidade da Federação,23,Mil dúzias,1255,12,Acre,201804,4º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
124,3,Unidade da Federação,24,Cabeças,224544,12,Acre,201901,1º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
125,3,Unidade da Federação,23,Mil dúzias,1308,12,Acre,201901,1º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
126,3,Unidade da Federação,23,Mil dúzias,1308,12,Acre,201901,1º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
127,3,Unidade da Federação,24,Cabeças,209389,12,Acre,201902,2º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
128,3,Unidade da Federação,23,Mil dúzias,1188,12,Acre,201902,2º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
129,3,Unidade da Federação,23,Mil dúzias,1188,12,Acre,201902,2º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
130,3,Unidade da Federação,24,Cabeças,X,12,Acre,201903,3º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
131,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,201903,3º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
132,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,201903,3º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
133,3,Unidade da Federação,24,Cabeças,X,12,Acre,201904,4º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
134,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,201904,4º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
135,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,201904,4º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
136,3,Unidade da Federação,24,Cabeças,207811,12,Acre,202001,1º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
137,3,Unidade da Federação,23,Mil dúzias,1277,12,Acre,202001,1º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
138,3,Unidade da Federação,23,Mil dúzias,1277,12,Acre,202001,1º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
139,3,Unidade da Federação,24,Cabeças,232508,12,Acre,202002,2º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
140,3,Unidade da Federação,23,Mil dúzias,1325,12,Acre,202002,2º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
141,3,Unidade da Federação,23,Mil dúzias,1325,12,Acre,202002,2º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
142,3,Unidade da Federação,24,Cabeças,X,12,Acre,202003,3º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
143,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,202003,3º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
144,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,202003,3º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
145,3,Unidade da Federação,24,Cabeças,X,12,Acre,202004,4º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
146,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,202004,4º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
147,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,202004,4º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
148,3,Unidade da Federação,24,Cabeças,X,12,Acre,202101,1º trimestre 2021,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
149,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,202101,1º trimestre 2021,29,Quantidade de ovos produzidos,115236,Total do trimestre
150,3,Unidade da Federação,23,Mil dúzias,X,12,Acre,202101,1º trimestre 2021,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
151,3,Unidade da Federação,24,Cabeças,1716706,13,Amazonas,201501,1º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
152,3,Unidade da Federação,23,Mil dúzias,10390,13,Amazonas,201501,1º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
153,3,Unidade da Federação,,,...,13,Amazonas,201501,1º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
